name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
tensorflow,{'name': 'C++'},{'totalCount': 30},https://github.com/tensorflow/tensorflow,{'totalCount': 144893},{'totalCount': 8391},{'totalCount': 65122},543585
keras,{'name': 'Python'},{'totalCount': 4},https://github.com/keras-team/keras,{'totalCount': 48410},{'totalCount': 2094},{'totalCount': 17582},13334
scikit-learn,{'name': 'Python'},{'totalCount': 6},https://github.com/scikit-learn/scikit-learn,{'totalCount': 40869},{'totalCount': 2245},{'totalCount': 19108},116332
pytorch,{'name': 'C++'},{'totalCount': 25},https://github.com/pytorch/pytorch,{'totalCount': 39020},{'totalCount': 1444},{'totalCount': 9718},278001
TensorFlow-Examples,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/aymericdamien/TensorFlow-Examples,{'totalCount': 37390},{'totalCount': 2082},{'totalCount': 13547},9566
tesseract,{'name': 'C++'},{'totalCount': 9},https://github.com/tesseract-ocr/tesseract,{'totalCount': 34634},{'totalCount': 1644},{'totalCount': 6216},45922
face_recognition,{'name': 'Python'},{'totalCount': 3},https://github.com/ageitgey/face_recognition,{'totalCount': 34363},{'totalCount': 1504},{'totalCount': 9441},103897
faceswap,{'name': 'Python'},{'totalCount': 3},https://github.com/deepfakes/faceswap,{'totalCount': 30603},{'totalCount': 1389},{'totalCount': 9565},198511
caffe,{'name': 'C++'},{'totalCount': 8},https://github.com/BVLC/caffe,{'totalCount': 30329},{'totalCount': 2225},{'totalCount': 13397},76170
100-Days-Of-ML-Code,{'name': 'Python'},{'totalCount': 1},https://github.com/Avik-Jain/100-Days-Of-ML-Code,{'totalCount': 28715},{'totalCount': 2317},{'totalCount': 7093},10970
julia,{'name': 'Julia'},{'totalCount': 19},https://github.com/JuliaLang/julia,{'totalCount': 27405},{'totalCount': 962},{'totalCount': 3835},185515
basics,{'name': 'Jupyter Notebook'},{'totalCount': 1},https://github.com/madewithml/basics,{'totalCount': 24270},{'totalCount': 1151},{'totalCount': 4217},45234
machine-learning-for-software-engineers,,{'totalCount': 0},https://github.com/ZuzooVn/machine-learning-for-software-engineers,{'totalCount': 23786},{'totalCount': 1580},{'totalCount': 4936},434
awesome-deep-learning-papers,{'name': 'TeX'},{'totalCount': 2},https://github.com/terryum/awesome-deep-learning-papers,{'totalCount': 21144},{'totalCount': 1998},{'totalCount': 3818},147
handson-ml,{'name': 'Jupyter Notebook'},{'totalCount': 5},https://github.com/ageron/handson-ml,{'totalCount': 19882},{'totalCount': 1069},{'totalCount': 10190},85305
xgboost,{'name': 'C++'},{'totalCount': 17},https://github.com/dmlc/xgboost,{'totalCount': 19111},{'totalCount': 989},{'totalCount': 7076},15965
data-science-ipython-notebooks,{'name': 'Python'},{'totalCount': 4},https://github.com/donnemartin/data-science-ipython-notebooks,{'totalCount': 18525},{'totalCount': 1569},{'totalCount': 5364},49025
fastai,{'name': 'Jupyter Notebook'},{'totalCount': 11},https://github.com/fastai/fastai,{'totalCount': 17972},{'totalCount': 657},{'totalCount': 6286},451406
d2l-zh,{'name': 'Python'},{'totalCount': 6},https://github.com/d2l-ai/d2l-zh,{'totalCount': 17355},{'totalCount': 843},{'totalCount': 4358},163651
openpose,{'name': 'C++'},{'totalCount': 7},https://github.com/CMU-Perceptual-Computing-Lab/openpose,{'totalCount': 17345},{'totalCount': 887},{'totalCount': 5027},86582
Coursera-ML-AndrewNg-Notes,{'name': 'HTML'},{'totalCount': 2},https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,{'totalCount': 17049},{'totalCount': 909},{'totalCount': 6537},649668
CNTK,{'name': 'C++'},{'totalCount': 18},https://github.com/microsoft/CNTK,{'totalCount': 16780},{'totalCount': 1359},{'totalCount': 4314},935974
spaCy,{'name': 'Python'},{'totalCount': 8},https://github.com/explosion/spaCy,{'totalCount': 16494},{'totalCount': 569},{'totalCount': 2867},168368
ML-From-Scratch,{'name': 'Python'},{'totalCount': 1},https://github.com/eriklindernoren/ML-From-Scratch,{'totalCount': 16146},{'totalCount': 838},{'totalCount': 3025},553
NLP-progress,{'name': 'Python'},{'totalCount': 3},https://github.com/sebastianruder/NLP-progress,{'totalCount': 15732},{'totalCount': 1247},{'totalCount': 2553},1146
100-Days-Of-ML-Code,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/MLEveryday/100-Days-Of-ML-Code,{'totalCount': 15469},{'totalCount': 1076},{'totalCount': 4242},44856
awesome-deep-learning,,{'totalCount': 0},https://github.com/ChristosChristofidis/awesome-deep-learning,{'totalCount': 15219},{'totalCount': 1259},{'totalCount': 4028},643
cs-video-courses,,{'totalCount': 0},https://github.com/Developer-Y/cs-video-courses,{'totalCount': 14691},{'totalCount': 773},{'totalCount': 1874},1003
